date;tranche_horaire;id_arret;nom_commune;id_ligne;sens;freq
2025-01-28;06:30:00;2016;Cesson-Sévigné;6;Aller;8.23529
2024-10-29;13:30:00;2307;Bruz;7;Retour;1.17647
2025-02-12;09:00:00;3804;Bourgbarré;74;Retour;2.35294
2025-01-24;07:15:00;2901;Chartres-de-Bretagne;59;Retour;1.17647
2025-04-14;16:30:00;2219;Saint-Jacques-de-la-Lande;5;Aller;1.17647
2025-01-28;15:00:00;2040;Cesson-Sévigné;6;Aller;1.17647
2025-07-31;17:15:00;2012;Cesson-Sévigné;6;Aller;1.17647
2025-02-05;08:00:00;2061;Cesson-Sévigné;34;Retour;1.17647
2025-05-28;09:00:00;6004;Romillé;82;Retour;2.35294
2024-11-27;17:30:00;2274;Saint-Jacques-de-la-Lande;13;Retour;1.17647
2025-02-21;15:15:00;3852;Mordelles;55;Retour;2.35294
2024-09-13;18:00:00;2204;Saint-Jacques-de-la-Lande;6;Retour;2.35294
2024-12-17;14:15:00;2803;Saint-Grégoire;12;Retour;1.17647
2025-02-04;07:30:00;4002;Acigné;164;Aller;2.35294
2024-11-23;19:30:00;2137;Cesson-Sévigné;34;Aller;2.35294
2025-01-13;19:45:00;2916;Chartres-de-Bretagne;72;Retour;2.35294
2024-09-06;14:00:00;2502;Le Rheu;54;Retour;1.17647
2024-10-19;14:45:00;3112;Pacé;77;Aller;1.17647
2025-01-15;17:45:00;2707;Noyal-Châtillon-sur-Seiche;61;Retour;2.35294
2025-02-28;13:45:00;4156;Brécé;67;Aller;1.17647
2024-10-29;05:45:00;3851;Mordelles;55;Retour;1.17647
2024-11-12;10:15:00;3111;Pacé;77;Retour;2.35294
2024-09-05;15:30:00;2278;Saint-Jacques-de-la-Lande;13;Aller;11.76471
2025-04-14;15:30:00;2809;Saint-Grégoire;1;Aller;11.76471
2025-03-25;07:45:00;3836;Bourgbarré;161;Retour;4.70588
2024-11-15;11:15:00;2290;Saint-Jacques-de-la-Lande;6;Retour;1.17647
2025-02-11;19:00:00;2138;Cesson-Sévigné;50;Aller;14.11765
2025-04-06;23:15:00;5063;Saint-Jacques-de-la-Lande;1002;Indéterminé;2.22222
2025-04-16;11:15:00;3306;Thorigné-Fouillard;50;Aller;3.52941
2024-09-30;16:45:00;3705;Saint-Gilles;52;Retour;1.17647
2024-12-09;11:15:00;4359;Saint-Erblon;61;Retour;5.88235
2025-01-13;18:15:00;2062;Cesson-Sévigné;34;Retour;1.17647
2024-09-17;05:15:00;2007;Cesson-Sévigné;6;Aller;1.17647
2025-01-21;09:15:00;2805;Saint-Grégoire;1;Aller;1.17647
2025-08-11;13:45:00;2214;Saint-Jacques-de-la-Lande;6;Retour;1.17647
2025-06-26;18:30:00;2003;Cesson-Sévigné;83;Retour;1.17647
2024-10-21;12:00:00;2509;Le Rheu;55;Retour;3.52941
2024-11-25;09:15:00;2521;Le Rheu;55;Retour;1.17647
2025-03-21;12:15:00;2237;Saint-Jacques-de-la-Lande;6;Retour;1.17647
2024-10-24;12:00:00;2602;Vern-sur-Seiche;62;Retour;1.17647
2024-09-15;15:30:00;4401;Le Verger;55;Retour;5.88235
2024-10-23;17:15:00;2121;Cesson-Sévigné;4;Retour;1.17647
2025-08-01;14:30:00;2830;Saint-Grégoire;52;Retour;3.52941
2025-04-07;18:15:00;2345;Bruz;91;Aller;1.17647
2024-09-18;12:00:00;2211;Saint-Jacques-de-la-Lande;7;Aller;1.17647
2025-04-28;08:00:00;3110;Pacé;77;Retour;3.52941
2025-03-29;20:15:00;2278;Saint-Jacques-de-la-Lande;13;Aller;4.70588
2025-01-03;15:30:00;2809;Saint-Grégoire;1;Aller;4.70588
2024-12-06;16:45:00;2237;Saint-Jacques-de-la-Lande;13;Retour;5.88235
2024-09-27;06:15:00;3032;Chantepie;1;Retour;1.17647
2025-08-26;19:15:00;2278;Saint-Jacques-de-la-Lande;13;Aller;8.23529
2024-10-02;06:45:00;4322;L'Hermitage;53;Retour;2.35294
2024-11-06;22:15:00;9999;Non identifiée;4;Retour;2.35294
2024-10-18;16:15:00;2512;Le Rheu;54;Aller;1.17647
2025-04-30;15:15:00;2505;Le Rheu;54;Retour;3.52941
2025-08-06;14:45:00;3172;Pacé;77;Retour;1.17647
2025-03-08;09:00:00;4353;Saint-Erblon;61;Retour;1.17647
2025-05-26;18:15:00;2863;Saint-Grégoire;14;Aller;4.70588
2024-09-28;07:15:00;2842;Saint-Grégoire;1;Aller;1.24706
2025-08-15;18:15:00;2708;Noyal-Châtillon-sur-Seiche;61;Retour;2.35294
2025-06-18;17:45:00;3715;Saint-Gilles;52;Retour;2.35294
2025-01-06;16:00:00;2206;Saint-Jacques-de-la-Lande;7;Retour;4.70588
2024-11-09;08:45:00;2211;Saint-Jacques-de-la-Lande;6;Aller;1.17647
2024-09-06;11:00:00;4252;La Chapelle-Thouarault;53;Retour;2.35294
2025-06-13;09:00:00;3209;Orgères;74;Retour;1.17647
2025-05-20;20:30:00;4069;La Chapelle-des-Fougeretz;52;Aller;1.17647
