Identifiant;Date de début de version;Date de fin de version;Est la version active;Code;Nom;Commune (code INSEE);Commune (nom);Coordonnées;Accessible aux PMR;Mobilier;Visibilité;Stopid gtfs/gtfs-rt
2271;2016-08-29;;Oui;2271;25 Fusillés;35281;Saint-Jacques-de-la-Lande;48.090523, -1.694932;true;Abri simple;Grand public;6-2271
2275;2023-09-04;;Oui;2275;Haie des Cognets;35281;Saint-Jacques-de-la-Lande;48.081786, -1.734401;false;Poteau;Grand public;6-2275
2279;2024-07-08;;Oui;2279;Saint-Jacques - Gaîté;35281;Saint-Jacques-de-la-Lande;48.091825, -1.703695;true;Abri simple;Grand public;6-2279
2281;2024-07-08;;Oui;2281;Saint-Jacques - Gaîté;35281;Saint-Jacques-de-la-Lande;48.092108, -1.7026;true;Abri simple;Grand public;6-2281
2285;2022-10-24;;Oui;2285;Saint-Jacques - Gaîté;35281;Saint-Jacques-de-la-Lande;48.091639, -1.702855;true;Abri simple;Grand public;6-2285
2304;2022-10-24;;Oui;2304;Rabine;35047;Bruz;48.02575, -1.760774;true;Abri simple;Grand public;6-2304
2313;2024-09-02;;Oui;2313;Lande du Pont;35047;Bruz;48.05274, -1.73827;true;Abri simple;Grand public;6-2313
2315;2024-09-02;;Oui;2315;Lande du Pont;35047;Bruz;48.052128, -1.73961;true;Poteau;Grand public;6-2315
2321;2022-10-24;;Oui;2321;Gavrinis;35047;Bruz;48.031203, -1.759604;true;Poteau;Grand public;6-2321
2330;2025-09-01;;Oui;2330;Rabine;35047;Bruz;48.023969, -1.761681;true;Abri simple;Grand public;6-2330
2331;2025-09-01;;Oui;2331;Noë;35047;Bruz;48.021394, -1.752276;true;Abri double;Grand public;6-2331
2335;2022-10-24;;Oui;2335;Bobinais;35047;Bruz;48.026311, -1.73451;true;Abri simple;Grand public;6-2335
2343;2025-09-01;;Oui;2343;Epalet;35047;Bruz;48.019568, -1.745544;true;Abri simple;Grand public;6-2343
2348;2022-10-24;;Oui;2348;Victor Hugo;35047;Bruz;48.023478, -1.743383;true;Abri simple;Grand public;6-2348
2350;2002-01-01;;Oui;2350;Mare de la Salle;35047;Bruz;48.029317, -1.719061;false;Poteau;Grand public;6-2350
2353;2022-10-24;;Oui;2353;Victor Hugo;35047;Bruz;48.023386, -1.743086;true;Abri simple;Grand public;6-2353
2367;2025-09-01;;Oui;2367;Anita Conti;35047;Bruz;48.033353, -1.733602;false;Non matérialisé;Grand public;6-2367
2379;2018-09-03;;Oui;2379;DGA-MI Nord;35047;Bruz;47.994352, -1.740199;true;Poteau;Grand public;6-2379
2401;2025-09-01;;Oui;2401;Champ Devant;35024;Betton;48.17708, -1.651214;true;Abri double;Grand public;6-2401
2403;2025-09-01;;Oui;2403;Brocéliande;35024;Betton;48.180744, -1.651931;false;Abri simple;Grand public;6-2403
2408;2025-09-01;;Oui;2408;Marronniers;35024;Betton;48.176138, -1.637347;true;Abri simple;Grand public;6-2408
2413;2025-09-01;;Oui;2413;Enseigne Abbaye;35024;Betton;48.171036, -1.641857;true;Poteau;Grand public;6-2413
2427;2025-09-01;;Oui;2427;Champ Giron;35334;Thorigné-Fouillard;48.17044, -1.621955;false;Poteau;Grand public;6-2427
2436;2025-09-01;;Oui;2436;Betton Rue de Rennes;35024;Betton;48.176914, -1.639283;true;Poteau;Grand public;6-2436
2511;2022-10-24;;Oui;2511;Plessix Saucourt;35240;Le Rheu;48.103638, -1.751185;false;Poteau;Grand public;6-2511
2521;2018-09-03;;Oui;2521;Gerhoui;35240;Le Rheu;48.091013, -1.786731;true;Abri simple;Grand public;6-2521
2529;2019-09-02;;Oui;2529;Moigné;35240;Le Rheu;48.080318, -1.774509;true;Poteau;Grand public;6-2529
2544;2024-09-02;;Oui;2544;Trémelière;35240;Le Rheu;48.10333, -1.803084;true;Poteau;Grand public;6-2544
2545;2024-09-02;;Oui;2545;Trémelière;35240;Le Rheu;48.103526, -1.802853;true;Abri simple;Grand public;6-2545
2549;2022-10-24;;Oui;2549;Lindon;35240;Le Rheu;48.105759, -1.79391;true;Poteau;Grand public;6-2549
2603;2025-09-01;2026-01-04;Oui;2603;La Poste;35352;Vern-sur-Seiche;48.044706, -1.603971;true;Abri simple;Grand public;6-2603
2614;2022-10-24;;Oui;2614;Val d'Orson;35352;Vern-sur-Seiche;48.063932, -1.622728;true;Abri simple;Grand public;6-2614
2628;2002-01-01;;Oui;2628;Vaugon;35352;Vern-sur-Seiche;48.031258, -1.599523;true;Poteau;Grand public;6-2628
2640;2002-01-01;;Oui;2640;Croix Malinge;35352;Vern-sur-Seiche;48.03838, -1.602287;true;Poteau;Grand public;6-2640
2713;2022-10-24;;Oui;2713;Petit Beaulieu;35206;Noyal-Châtillon-sur-Seiche;48.068474, -1.665745;true;Abri simple;Grand public;6-2713
2715;2022-10-24;;Oui;2715;Hil-Bintinais;35206;Noyal-Châtillon-sur-Seiche;48.078584, -1.661262;true;Abri simple;Grand public;6-2715
2721;2022-10-24;;Oui;2721;Centre;35206;Noyal-Châtillon-sur-Seiche;48.042429, -1.665741;true;Abri auvent;Grand public;6-2721
2723;2022-10-24;;Oui;2723;Molène;35206;Noyal-Châtillon-sur-Seiche;48.038388, -1.670527;true;Poteau;Grand public;6-2723
2729;2002-01-01;;Oui;2729;Croix de Pierre;35206;Noyal-Châtillon-sur-Seiche;48.04705, -1.664697;true;Poteau;Grand public;6-2729
2733;2025-09-01;;Oui;2733;Deux Rives;35206;Noyal-Châtillon-sur-Seiche;48.03408, -1.663288;true;Abri simple;Grand public;6-2733
2749;2019-01-07;;Oui;2749;Touche Tizon;35206;Noyal-Châtillon-sur-Seiche;48.055865, -1.701124;false;Abri simple;Grand public;6-2749
2754;2022-09-01;;Oui;2754;Abords Launay;35206;Noyal-Châtillon-sur-Seiche;48.052963, -1.687059;false;Poteau;Grand public;6-2754
